"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","132","Добавление игредиента","tests","2026-06-29","passed","2026-06-29","TestsMainPage","test_main","",""
"","1583","Выход из аккаунта","tests","2026-06-29","passed","2026-06-29","TestsTransitionPage","test_personal_account","",""
"","637","Переход на страницу восстановить пароль","tests","2026-06-29","passed","2026-06-29","TestsLoginPage","test_login","",""
"","2326","Оформление заказа","tests","2026-06-29","passed","2026-06-29","TestsMainPage","test_main","",""
"","2499","Увеличился счетчик выполнено за все время","tests","2026-06-29","passed","2026-06-29","TestsMainPage","test_order","",""
"","1935","Выход из аккаунта","tests","2026-06-29","passed","2026-06-29","TestsTransitionPage","test_personal_account","",""
"","649","Переход на страницу Лента Заказов","tests","2026-06-29","passed","2026-06-29","TestsMainPage","test_main","",""
"","2518","Увеличился счетчик выполнено за все время","tests","2026-06-29","passed","2026-06-29","TestsMainPage","test_order","",""
"","1395","Показать пароль","tests","2026-06-29","passed","2026-06-29","TestsLoginPage","test_login","",""
"","1688","Перехода в раздел История заказов","tests","2026-06-29","passed","2026-06-29","TestsTransitionPage","test_personal_account","",""
"","292","Переход на страницу Конструктор","tests","2026-06-29","passed","2026-06-29","TestsMainPage","test_main","",""
"","596","Переход на страницу Лента Заказов","tests","2026-06-29","passed","2026-06-29","TestsMainPage","test_main","",""
"","1369","Переход на страницу подтверждения восстановления пароля","tests","2026-06-29","passed","2026-06-29","TestsLoginPage","test_login","",""
"","1456","Войти в аккаунт","tests","2026-06-29","passed","2026-06-29","TestsTransitionPage","test_personal_account","",""
"","1283","Войти в аккаунт","tests","2026-06-29","passed","2026-06-29","TestsTransitionPage","test_personal_account","",""
"","311","Добавление игредиента","tests","2026-06-29","passed","2026-06-29","TestsMainPage","test_main","",""
"","2304","Открыть окно с деталями заказа","tests","2026-06-29","passed","2026-06-29","TestsMainPage","test_order","",""
"","277","Открытие деталей ингредиентов","tests","2026-06-29","passed","2026-06-29","TestsMainPage","test_main","",""
"","2461","Увеличился счетчик выполнено за все время","tests","2026-06-29","passed","2026-06-29","TestsMainPage","test_order","",""
"","6336","Заказ добавлен в список в работе","tests","2026-06-29","broken","2026-06-29","TestsMainPage","test_order","",""
"","1768","Перехода в раздел История заказов","tests","2026-06-29","passed","2026-06-29","TestsTransitionPage","test_personal_account","",""
"","1506","Показать пароль","tests","2026-06-29","passed","2026-06-29","TestsLoginPage","test_login","",""
"","2194","Открыть окно с деталями заказа","tests","2026-06-29","passed","2026-06-29","TestsMainPage","test_order","",""
"","443","Закрытие окна детали ингредиента","tests","2026-06-29","passed","2026-06-29","TestsMainPage","test_main","",""
"","1242","Переход на страницу подтверждения восстановления пароля","tests","2026-06-29","passed","2026-06-29","TestsLoginPage","test_login","",""
"","175","Переход на страницу Конструктор","tests","2026-06-29","broken","2026-06-29","TestsMainPage","test_main","",""
"","2072","Заказ добавлен в список в работе","tests","2026-06-29","passed","2026-06-29","TestsMainPage","test_order","",""
"","519","Переход на страницу восстановить пароль","tests","2026-06-29","passed","2026-06-29","TestsLoginPage","test_login","",""
"","2593","Увеличился счетчик выполнено за все время","tests","2026-06-29","passed","2026-06-29","TestsMainPage","test_order","",""
"","408","Открытие деталей ингредиентов","tests","2026-06-29","passed","2026-06-29","TestsMainPage","test_main","",""
"","136","Проверка id из статуса заказа","tests","2026-06-29","broken","2026-06-29","TestsMainPage","test_order","",""
"","1911","Оформление заказа","tests","2026-06-29","passed","2026-06-29","TestsMainPage","test_main","",""
"","2775","Проверка id из статуса заказа","tests","2026-06-29","passed","2026-06-29","TestsMainPage","test_order","",""
"","576","Закрытие окна детали ингредиента","tests","2026-06-29","passed","2026-06-29","TestsMainPage","test_main","",""
